Symbol,Name,ChangeRate,Price,Chg,Heat,HeatChg,Volume,Turnover,P/E TTM,P/E LFY,Div Yield TTM,P/B,Open,PrevClose,High,Low,Bid,Ask,BidSize,AskSize,TurnoverPercent,,RangeRate,Vol Ratio,Bid/Ask Ratio,Industry,Mkt Cap,Float Mkt Cap,Total Shares,Free Float,5D Chg,10D Chg,20D Chg,60D Chg,120D Chg,250D Chg,YTD Chg,Pre-Mkt Price,Pre-Mkt Chg Rate,Pre-Mkt Chg,Post-Mkt Price,Post-Mkt Chg Rate,Post-Mkt Chg,Candle_Pattern,Squeeze,True_Range,VWAP,VWAP_Reclaim,Volume_Spike,Wick_Spike,Short_Fade,Liquidity_Score,Liquidity_Status,Day_Change,MFV,Recursor,Imminent,Failed_Breakdown,Gap_Fill,Momentum,Composite_Short,H_Score_Composite_S,Buildup,Composite_Mid,H_Score_Composite_M,Strong_Base,Composite_Long,H_Score_Composite_L,Sector_Score
IINN,Inspira Technologies Oxy,0.0584,0.7683,+0.0424,0,257,126061.0,92442.0,,Loss,0.0,4.546,0.7257,0.7259,0.77,0.716,0.7412,0.784,1300,300,0.52%,0.46%,0.07440000000000001,0.28,0.625,Medical Devices,19683289.75,18508977.77,25619276.0,24090821.0,0.0525,0.2332,0.5094,0.0599,-0.1764,-0.5956,-0.2468,0.7400,+1.94%,+0.0141,0.7412,-3.53%,-0.0271,,0,0.05400000000000005,0.7514333333333333,1,0,0,,12.40374124734675,Low,Bull,118123.82592592576,,,,,,,,,,,,,,0.011259689922480616
APG,APi Group,0.0167,48.65,+0.800,0,39,1527113.0,74327443.0,79.754,Loss,0.0,4.516,48.3,47.85,48.961,48.13,48.01,48.85,100,100,0.70%,0.23%,0.0174,1.17,0.0,Engineering & Construction,13468263859.40,10680824357.00,276839956.0,219544180.0,0.020099999999999996,0.0391,0.0599,0.2949,0.3292,0.2782,0.3525,48.540,+1.44%,+0.690,49.100,+0.92%,+0.450,0,0,1.110999999999997,48.580333333333336,1,0,0,,19.27614276009888,Norm,Flat,384075.35138386954,,1.0,,,,1.0,Imminent,,,,,,,0.013130232558139521
WST,West Pharmaceutical Services,0.0108,224.3,+2.390,0,39,545366.0,121803345.0,35.211,33.527,0.0037,6.006,221.65,221.91,225.44,219.62,199.23,235.77,100,100,0.77%,-0.04%,0.0262,0.83,0.0,Medical Instruments & Supplies,16114915145.20,15998828680.20,71845364.0,71327814.0,0.0024,0.0712,0.0354,-0.0131,-0.313,-0.325,-0.3141,221.980,+0.03%,+0.070,224.300,0.00%,0.000,0,0,5.819999999999993,223.12,1,0,0,,18.87568359478736,Norm,Flat,331717.4639175281,,1.0,,,,1.0,Imminent,,,,,,,0.008078723404255314
FTI,TechnipFMC,0.0046,34.68,+0.160,0,42,3421482.0,118254898.0,18.349,18.157,0.0058,4.733,34.2,34.52,34.8,33.98,26.45,35.0,100,100,0.83%,-0.12%,0.023799999999999998,0.9,0.0,Oil & Gas Equipment & Services,14538878713.20,14385091917.84,419229490.0,414795038.0,0.0764,0.1115,0.10980000000000001,0.1859,0.21539999999999998,0.4401,0.2024,34.970,+1.30%,+0.450,34.680,0.00%,0.000,0,0,0.8200000000000003,34.48666666666667,1,0,0,,18.970048641684134,Norm,Flat,2420072.634146363,,1.0,,,,1.0,Imminent,,,,,,,0.02598125
G,Genpact,0.0260999999999999,44.04,+1.120,0,42,1809113.0,79451898.0,14.979,15.452,0.0143,3.139,43.08,42.92,44.1,43.08,43.4,44.16,100,100,1.10%,0.02%,0.023799999999999998,1.23,0.0,Information Technology Services,7701466550.16,7216198245.84,174874354.0,163855546.0,0.0194,0.0302,-0.0034000000000000002,-0.1092,0.0447,0.43829999999999997,0.028900000000000002,0.000,0.00%,0.000,44.040,0.00%,0.000,0,0,1.1799999999999997,43.74,1,0,0,,19.140326380623332,Norm,Up,1596276.1764705807,,1.0,,,,1.0,Imminent,,,,,,,0.03443088235294117
PHIO,Phio Pharmaceuticals,0.0925,2.48,+0.210,0,108,162810.0,390121.0,,Loss,0.0,0.977,2.27,2.27,2.498,2.24,2.4,2.49,2500,5000,3.41%,0.00%,0.11349999999999999,0.35,-0.3333,Biotechnology,11899421.92,11852257.28,4798154.0,4779136.0,-0.11109999999999999,0.20980000000000001,0.3478,0.8647,0.4253,-0.6122,0.3778,2.250,-0.88%,-0.020,2.480,0.00%,0.000,,0,0.258,2.406,1,0,0,,13.642173952282254,Low,Spike,140092.32558139507,,,,,,,,,,,,,,0.00600202360876897
PTEN,Patterson-UTI Energy,-0.0153,6.43,-0.100,0,87,9350675.0,60065574.0,,Loss,0.049800000000000004,0.724,6.45,6.53,6.535,6.315,6.4,6.6,100,5000,2.68%,-0.47%,0.0337,0.77,-0.9608,Oil & Gas Drilling,2481896577.18,2247780984.48,385987026.0,349577136.0,0.0843,0.16699999999999998,0.0678,-0.2242,-0.09630000000000001,-0.31739999999999996,-0.2024,6.410,-1.84%,-0.120,6.699,+4.19%,+0.269,,0,0.21999999999999975,6.426666666666667,1,0,0,,18.877314422883916,Norm,Flat,425030.6818181355,,,,,,,,,,,,,,-0.008577777777777766
WLDS,Wearable Devices,0.0548,1.54,+0.080,0,-94,91542.0,139597.0,,Loss,0.0,0.909,1.48,1.46,1.58,1.45,1.47,1.59,100,500,4.30%,0.00%,0.08900000000000001,0.91,-0.6667000000000001,Consumer Electronics,3509059.40,3282505.38,2278610.0,2131497.0,-0.0253,-0.07780000000000001,-0.1047,-0.1809,-0.7813,-0.9549,-0.8234,1.450,-0.70%,-0.010,1.500,-2.60%,-0.040,,0,0.13000000000000012,1.5233333333333334,1,0,0,,12.639151127914817,Low,Bull,35208.46153846154,,,,,,,,,,,,,,0.03801875
RIGL,Rigel Pharmaceuticals,-0.0044,20.43,-0.090,0,-18,121267.0,2479933.0,9.775,20.636,0.0,19.663,20.55,20.52,21.512,20.22,20.02,22.12,100,500,0.81%,-0.15%,0.063,0.79,-0.6667000000000001,Biotechnology,365133785.76,305901617.94,17872432.0,14973158.0,-0.065,0.0139,0.03,0.0029,0.18710000000000002,1.1438,0.2146,0.000,0.00%,0.000,20.430,0.00%,0.000,-1,0,1.2920000000000016,20.720666666666666,0,0,1,,16.12605952083376,Norm,Flat,-81845.83900928783,,1.0,,,,1.0,Imminent,,,,,,,0.00600202360876897
INSW,International Seaways,-0.0266,38.85,-1.060,0,-18,795572.0,30895184.0,6.013,4.636,0.1326,1.025,39.41,39.91,40.1,38.11,38.85,40.0,200,900,1.98%,0.26%,0.0499,1.14,-0.6364,Oil & Gas Midstream,1916789225.40,1561649331.90,49338204.0,40196894.0,0.0747,0.062,0.006,0.1192,0.2425,-0.2155,0.1222,39.730,-0.45%,-0.180,38.900,+0.13%,+0.050,,0,1.990000000000002,39.02,0,0,0,,18.08425061740566,Norm,Down,-203890.31155778794,,,,,0.8,0.8,Momentum,,,,,,,-0.013563999999999994
